Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
UK,South,F,13,B,170,26,172,3,Bus,60,0.48,36,Basketball,69,84,296,143,738,752
NZ,Waikato,F,14,R,156,25,158,1,Bus,25,0.328,0,Netball,250,,500,,,
OZ,Queensland,F,16,R,174,28,170,1,Bus,15,0.29,37,Other activities/sports,639,634,456,450,1000,1000
NZ,Wellington,M,10,R,145,21,142,1,Walk,5,0.828,0,Hockey (Field),750,,750,,,
UK,North West,F,14,R,172,27,164,2,Walk,20,0.42,48,Netball,861,857,852,841,989,1000
USA,NJ,F,15,R,153,23,152,2,Walk,10,0.281,37,Running/Jogging,1000,1000,1000,,900,1000
USA,OH,F,11,L,149,23,150,1,Bus,20,0.49,47,Walking/Hiking,733,770,749,695,41,604
CA,Ontario,M,13,R,143,24,141,1,Walk,20,0.031,37,Tennis,182,374,594,481,861,920
OZ,Queensland,F,13,R,165,24,158,2,Car,5,0.42,46,Dancing,498,,1000,,,
USA,CO,M,17,B,177,30,184,1,Other,6,0.28,48,Swimming,0,0,1000,500,250,1000
USA,NC,M,15,R,178,28,181,1,Car,12,0.251,49,Running/Jogging,850,1000,200,150,600,650
CA,Prince Edward Island,M,8,L,150,21,125,1,Walk,5,0.44,68,Hockey (Ice),1000,1000,1000,1000,59,112
USA,WI,M,12,R,166,25,165,1,Bus,15,0.601,55,Rowing,310,455,326,652,1000,1000
CA,Alberta,F,12,R,145,23,151,2,Car,8,0.343,31,Football/Soccer,1000,690,1000,775,289,342
OZ,New South Wales,F,10,R,144,22,141,1,Car,20,0.6,45,Table Tennis,888,1000,1000,1000,1000,1000
OZ,New South Wales,M,11,R,150,21,147,1,Car,12,0.37,36,Other activities/sports,1000,749,551,791,527,647
CA,Ontario,M,13,R,175,29,168,2,Car,7,0.431,80,Other activities/sports,834,727,599,1000,449,492
CA,Quebec,M,18,R,172,26,175,1,Bus,15,0.515,31,None,599,583,578,342,1000,1000
OZ,New South Wales,F,13,L,166,24,156,2,Car,15,0.39,31,Dancing,1000,503,509,226,1000,1000
NZ,Southland,F,12,R,157,28,155,1,Car,15,0,0,Netball,750,,750,,,
OZ,Tasmania,M,11,B,152,22,100,3,Car,8,0.34,55,Football/Soccer,1000,746,249,752,1,143
CA,Saskatchewan,F,14,R,173,27,172,1,Car,15,0.391,39,Bowling,791,348,1000,1000,43,171
NZ,Northland,M,11,R,147,24,147,1,Walk,15,1.111,0,Rugby Union,750,,1000,,,
USA,GU,F,17,R,163,23,164,2,Bus,10,0.733,51,Baseball/Softball,0,0,0,0,0,0
NZ,Auckland,M,14,R,169,27,165,1,Bus,15,0.49,0,Rugby Union,500,,500,,,
UK,North West,M,12,R,140,22,137,1,Walk,15,0.31,39,Cricket,531,746,936,795,1000,1000
USA,UT,M,15,R,171,26,174,2,Bus,20,0,40,Skateboarding/Rollerblading,1000,1000,1000,1000,900,1000
USA,PA,M,16,R,194,29,194,1,Car,15,0.297,42,Basketball,650,600,200,,250,500
OZ,South OZ,F,15,L,155,24,156,1,Bus,45,0.34,40,Dancing,988,1000,1000,1000,805,817
OZ,Western OZ,F,14,B,160,24,160,1,Car,2,0.37,31,Athletics,503,379,220,468,876,781
CA,Ontario,M,13,R,161,24,166,2,Cycle,5,0.329,40,Hockey (Ice),1000,535,540,1000,1000,1000
OZ,Victoria,F,7,R,143,23,142,1,Walk,10,0.43,51,Netball,1000,1000,1000,1000,1000,1000
USA,WI,M,16,R,186,26,183,1,Car,7,0.286,34,Athletics,765,668,326,535,262,358
USA,KS,F,17,R,157,20,157,3,Bus,22,0.378,60,Hockey (Ice),899,500,500,962,963,999
CA,Ontario,F,18,R,163,23,166,2,Bus,45,0.422,42,Football/Soccer,904,914,690,1000,535,540
OZ,Victoria,M,13,L,174,26,172,1,Bus,45,0.26,33,Basketball,713,647,707,462,581,240
NZ,Auckland,F,13,L,146,22,144,2,Bus,15,0.426,0,Rugby Union,1000,,750,,,
CA,Manitoba,M,15,L,179,28,178,2,Walk,10,0.53,26,Hockey (Ice),1000,674,160,620,1000,1000
CA,Ontario,F,13,B,170,24,170,1,Walk,1,0.572,43,Dancing,380,717,759,775,807,893
CA,Alberta,M,12,L,146,20,143,2,Walk,10,0.378,35,Martial Arts,898,888,652,904,487,481
USA,AZ,M,17,R,191,28,181,2,Car,30,0.371,42,Golf,487,257,551,551,914,914
OZ,New South Wales,F,15,R,165,23,163,1,Car,15,0.41,27,Basketball,498,704,917,539,167,616
CA,Ontario,F,17,R,182,25,173,2,Walk,35,0.471,30,Basketball,1000,1000,1000,1000,1000,1000
CA,British Columbia,M,11,R,152,30,147,2,Walk,4,0.782,59,Other activities/sports,43,59,5,21,1000,1000
UK,South,M,12,R,161,29,157,1,Cycle,30,0.29,70,Golf,861,1000,894,870,793,934
CA,British Columbia,F,10,L,148,22,145,1,Car,5,0.581,56,Other activities/sports,487,342,615,439,32,107
NZ,Waikato,F,14,R,164,22,80,2,Bus,25,0,0,Netball,500,,1000,,,
CA,Ontario,M,14,L,173,27,172,4,Car,15,0.339,38,Other activities/sports,102,27,96,225,695,658
UK,West Midlands,M,12,R,152,23,95,2,Bus,15,0.31,51,Football/Soccer,313,530,375,568,999,1000
CA,Ontario,M,11,R,145,23,145,3,Car,5,0.407,135,Hockey (Ice),594,417,524,471,529,326
CA,British Columbia,F,12,R,149,24,150,1,Bus,30,0.529,30,Baseball/Softball,578,508,684,743,888,1000
UK,East,F,11,R,145,24,150,2,Bus,30,0.84,43,Swimming,513,437,527,478,556,661
USA,PA,F,17,B,178,27,178,1,Car,12,0.351,38,Lacrosse,1000,800,200,900,800,1000
OZ,Western OZ,F,15,R,165,22,166,1,Bus,10,0.4,40,Netball,338,96,332,539,551,557
OZ,Western OZ,F,11,R,135,20,134,1,Car,2,0.35,71,Netball,610,521,456,403,539,498
OZ,New South Wales,F,15,R,171,24,171,1,Car,3,0.4,43,Netball,1000,671,982,551,551,545
OZ,Victoria,M,11,R,138,21,167,1,Car,5,0.57,47,Tennis,184,308,308,155,232,237
USA,FL,F,16,R,152,23,157,1,Car,10,0.4,67,Swimming,800,600,700,600,500,400
NZ,Tasman,M,11,R,146,25,149,1,Car,15,0,0,Rugby Union,500,,500,,,
NZ,Canterbury,F,14,R,151,35,151,2,Walk,5,0.454,0,Football/Soccer,250,,750,,,
UK,East,F,13,R,211,22,160,1,Car,15,0.57,42,Cycling,353,226,639,543,982,1000
CA,Manitoba,M,12,R,111,27,111,1,Walk,15,0.878,39,Basketball,1000,1000,1000,1000,1000,1000
USA,NY,F,17,R,160,23,161,2,Rail,35,0.349,40,Walking/Hiking,700,800,500,500,700,700
OZ,New South Wales,M,12,R,155,26,150,1,Car,8,0.35,45,Rugby League,677,833,827,647,240,438
OZ,South OZ,M,12,R,166,28,152,1,Car,2,0.35,45,Football/Soccer,486,444,486,433,167,172
OZ,New South Wales,F,14,R,163,24,163,1,Car,10,0.37,30,Hockey (Field),279,515,799,338,78,90
OZ,South OZ,F,16,R,167,22,166,2,Bus,15,0.45,35,Tennis,1000,391,1000,66,1000,959
OZ,Victoria,M,13,L,187,28,185,1,Car,2,0.36,37,Football/Soccer,338,320,539,332,574,947
USA,VA,M,17,R,163,23,158,2,Car,20,0.305,37,Football/Soccer,999,999,500,350,700,400
OZ,Victoria,M,12,R,147,24,145,1,Car,10,0.62,48,Other activities/sports,1000,1000,1000,1000,267,545
UK,North West,M,11,R,147,25,142,3,Car,5,0,52,Rugby League,1000,4,964,994,29,0
USA,PA,F,11,L,140,17,150,2,Bus,5,0,10,Bowling,1000,500,500,,1000,1000
UK,North West,F,14,R,179,21,160,2,Walk,30,0.37,48,Swimming,83,77,89,73,500,652
USA,NJ,F,16,R,170,25,165,1,Car,25,0.358,41,Other,759,348,829,963,412,396
UK,South West,F,12,R,151,24,155,2,Walk,2,0.45,52,Swimming,500,500,500,500,500,500
OZ,New South Wales,F,12,B,160,24,158,1,SkateBoard...,35,0.42,20,Football/Soccer,645,675,675,675,616,616
OZ,Victoria,M,10,R,157,23,148,1,Car,2,0.48,66,Tennis,1000,1000,1000,1000,450,787
OZ,Tasmania,M,14,R,168,26,165,1,Walk,40,0.29,31,Football/Soccer,107,119,167,285,1000,1000
NZ,Auckland,F,12,L,134,19,134,1,Walk,5,0.547,0,Netball,500,,500,,,
USA,CO,F,17,R,168,24,155,2,Car,2,0.453,48,Lacrosse,720,945,575,700,550,900
USA,MA,F,13,R,157,23,152,4,Bus,10,0.387,43,Dancing,500,500,600,600,600,600
OZ,New South Wales,F,11,R,145,20,104,2,Car,10,0.48,32,Dancing,456,1000,1000,1000,486,373
OZ,Victoria,F,13,R,160,20,160,1,Walk,5,0.32,56,Tennis,823,722,669,805,728,793
NZ,Auckland,F,14,R,165,25,168,1,Walk,15,0.328,0,Tennis,500,,500,,,
USA,TX,F,11,R,149,21,150,1,Bus,20,0.658,62,Swimming,867,867,945,789,123,645
UK,South,F,13,R,170,25,166,2,Walk,3,0.32,31,Dancing,630,631,390,480,807,810
OZ,Western OZ,F,11,B,153,24,150,1,Walk,25,0.48,50,Swimming,403,474,1000,1000,551,563
OZ,South OZ,F,13,R,161,24,161,1,Walk,8,0.32,37,Walking/Hiking,805,468,911,628,314,125
USA,WI,F,13,R,158,23,159,1,Bus,3,0,44,Baseball/Softball,1000,1000,999,899,500,500
UK,South,F,12,R,178,24,112,1,Bus,22,0.51,38,Running/Jogging,586,667,591,539,422,532
OZ,Queensland,F,13,L,159,23,154,1,Bus,15,0.4,40,Rugby League,421,586,1000,232,409,805
OZ,New South Wales,F,14,L,177,26,165,1,Walk,15,0.34,34,Cycling,1000,799,1000,539,137,42
OZ,New South Wales,F,10,L,152,25,152,1,Car,10,0.37,32,Dancing,1000,503,970,486,202,462
OZ,New South Wales,M,13,R,153,24,153,1,Rail,55,0.32,40,Football/Soccer,1000,456,1000,1000,226,178
CA,Ontario,F,13,R,164,26,150,2,Walk,15,0.799,34,Swimming,497,305,749,909,1000,1000
CA,Ontario,M,17,R,185,30,181,1,Bus,20,0.585,40,Hockey (Ice),476,471,449,439,1000,1000
OZ,New South Wales,M,11,R,151,20,150,2,Car,5,0,0,Football/Soccer,527,533,527,1000,527,527
CA,Ontario,M,13,R,168,23,169,2,Car,9,0.312,81,Hockey (Ice),524,540,529,561,684,690
USA,VA,M,17,R,175,26,175,2,Car,5,0.25,43,Football/Soccer,500,500,500,900,500,300
UK,North West,F,12,R,171,30,164,1,Car,10,0.79,48,Dancing,639,997,500,309,1000,1000
USA,MI,F,17,R,175,20,175,2,SkateBoarding/Rollerblading,20,0,32,Lacrosse,0,0,0,0,0,0
CA,Alberta,F,15,R,155,23,160,1,Car,5,0.494,40,Dancing,717,540,471,850,396,310
NZ,Hawkes Bay,M,13,R,122,22,82,1,Car,25,0.541,0,Cycling,750,,750,,,
UK,Home Counties,M,12,R,155,21,161,2,Bus,10,0.32,65,Football/Soccer,286,58,320,387,944,984
OZ,New South Wales,M,12,R,167,26,170,1,Car,4,0.42,39,None,297,764,811,740,1000,1000
NZ,Manawatu-Wanganui,F,13,L,163,23,154,1,Cycle,15,0.846,0,Netball,0,,0,,,
NZ,Canterbury,F,13,R,185,26,184,2,Bus,15,0.407,0,Netball,750,,500,,,
USA,WI,M,14,R,185,32,178,1,Bus,20,0.423,48,Swimming,500,600,300,400,800,1000
CA,Quebec,F,15,R,159,24,152,2,Bus,15,0.739,30,Swimming,455,455,455,476,1000,1000
NZ,Northland,F,15,R,174,23,170,2,Car,5,0,0,Netball,750,,750,,,
USA,CA,F,17,R,168,24,162,2,Car,10,0.581,47,Walking/Hiking,750,750,800,799,950,1000
OZ,Queensland,F,9,R,130,20,120,1,Car,1,0.5,94,Athletics,539,1000,1000,515,72,60
OZ,New South Wales,F,10,R,145,22,145,1,Car,5,0.34,36,Dancing,498,509,515,509,25,31
OZ,Victoria,F,13,R,154,21,160,1,Walk,10,0.5,125,Hockey (Ice),935,947,976,1000,988,1000
UK,Home Counties,M,13,R,158,28,170,2,Car,5,0.31,35,Cricket,1000,1000,724,754,620,622
USA,PA,F,17,R,159,22,150,1,Car,5,0.328,42,None,200,800,500,,900,1000
OZ,New South Wales,M,12,R,160,30,160,2,Bus,15,0.26,37,Rugby Union,563,557,498,344,746,752
UK,Home Counties,M,14,R,176,30,168,1,Bus,25,0.38,55,Rugby Union,0,0,0,0,1000,1000
OZ,South OZ,M,13,R,165,26,159,1,Car,20,0.32,63,Football/Soccer,805,391,616,249,462,775
CA,Ontario,M,12,R,149,25,150,3,Bus,15,0.281,67,Hockey (Ice),433,209,481,1000,1000,1000
CA,Quebec,F,13,R,166,25,172,2,Car,19,0.411,38,Dancing,487,487,348,406,1000,1000
CA,Ontario,M,12,L,163,27,167,3,Walk,3,0.297,41,Baseball/Softball,861,294,27,53,791,861
CA,Ontario,M,13,R,154,23,149,1,Cycle,15,0.331,37,Cycling,310,11,11,310,1000,1000
CA,Ontario,F,16,L,174,28,174,1,Walk,15,0.28,44,Dancing,1000,1000,1000,1000,1000,1000
OZ,Victoria,F,12,R,156,23,155,1,Walk,1,0.4,51,Basketball,462,1000,1000,1000,101,101
USA,GU,F,15,L,154,21,150,3,Car,20,0,15,Basketball,1000,1000,1000,1000,1000,1000
OZ,South OZ,F,13,R,160,25,167,1,Car,14,0.28,31,Hockey (Field),1000,1000,1000,1000,131,143
USA,NJ,M,17,R,180,26,182,1,Car,15,0,33,Baseball/Softball,526,348,647,385,658,833
OZ,Western OZ,F,11,L,152,22,168,1,Walk,5,0.5,53,Dancing,557,155,840,870,,
USA,WI,F,17,R,170,23,173,1,Car,20,0.442,37,Other,900,800,800,850,500,1000
OZ,Tasmania,F,12,R,167,25,171,1,Car,3,0.35,36,None,415,385,693,503,113,793
OZ,Queensland,F,8,R,150,23,126,2,Car,5,0.38,50,Cricket,1000,1000,1000,1000,279,391
OZ,South OZ,F,11,R,148,24,158,1,Car,4,0.37,32,Gymnastics,1000,1000,1000,1000,533,533
CA,Ontario,M,12,R,157,25,150,1,Bus,20,0.406,40,Athletics,1000,503,37,1000,16,21
UK,East,M,15,R,158,26,157,4,Cycle,15,0.31,41,Athletics,500,500,500,500,500,500
OZ,New South Wales,F,14,R,171,24,167,1,Walk,7,0.31,33,Netball,1000,1000,1000,1000,527,752
CA,Ontario,M,15,R,184,27,188,1,Car,6,0.469,44,Other activities/sports,663,652,535,770,535,615
CA,Ontario,F,11,R,135,21,170,2,Car,20,0.601,47,Dancing,1000,1000,791,893,679,733
UK,South,F,12,R,155,24,153,2,Car,10,0.97,46,Swimming,0,0,500,500,500,500
USA,VI,M,17,R,175,29,174,1,Bus,15,0,39,Baseball/Softball,750,900,600,1000,1000,1000
NZ,Auckland,F,13,R,162,22,166,2,Walk,45,1.596,0,Football/Soccer,1000,,750,,,
CA,Manitoba,M,12,R,145,21,149,2,Walk,2,0.03,47,Bowling,1000,898,818,925,749,802
NZ,Canterbury,F,11,R,154,21,146,1,Car,25,0.39,0,Netball,750,,750,,,
OZ,South OZ,M,13,R,173,26,172,1,Car,5,0.32,70,Football/Soccer,172,131,628,,486,474
CA,Ontario,F,12,R,166,21,166,2,Bus,5,0.426,43,Swimming,1000,1000,481,829,840,850
OZ,Victoria,F,10,L,135,21,127,1,Car,6,0.39,50,Swimming,1000,1000,1000,1000,498,1000
CA,Ontario,F,14,R,174,22,174,1,Walk,5,0.406,27,Dancing,1000,1000,1000,1000,241,524
CA,Ontario,F,16,R,163,24,169,1,Car,5,0.46,50,Athletics,257,267,310,401,1000,1000
CA,Alberta,M,10,B,141,25,146,1,Car,5,0.31,60,Table Tennis,973,957,930,487,770,770
USA,MA,F,12,R,154,20,152,2,Bus,20,0.34,46,Hockey (Ice),0,900,900,300,100,500
USA,CA,M,15,R,139,31,174,1,Car,10,0,50,Football (American),100,100,500,500,600,1000
USA,AL,M,17,L,191,26,194,1,Car,20,0.328,34,Swimming,540,550,460,,870,880
UK,London,F,14,R,159,20,145,4,Walk,5,0.32,38,Table Tennis,0,0,0,0,1000,1000
USA,IL,M,12,R,148,25,154,1,Car,5,0,42,Basketball,500,500,400,200,25,1
OZ,Victoria,F,13,R,162,20,160,1,Walk,20,0.4,51,Tennis,695,503,599,486,1000,1000
UK,South,F,13,L,163,25,161,1,Car,15,1.74,44,Football/Soccer,1000,667,1000,734,286,390
CA,Ontario,F,13,R,159,22,174,2,Walk,20,0.332,49,Swimming,722,401,187,540,1000,1000
OZ,Tasmania,M,14,R,157,23,152,1,Car,10,0.31,34,Rugby League,196,196,196,196,586,894
NZ,Waikato,M,12,R,180,27,170,1,Bus,45,0.45,0,Football/Soccer,500,,750,,,
CA,Ontario,M,14,R,169,27,168,2,Car,15,0.453,40,Basketball,1000,1000,1000,1000,476,262
OZ,Queensland,F,12,R,154,23,146,1,Car,15,0.46,46,Netball,746,480,1000,923,220,474
USA,CO,M,17,R,191,25,193,2,Car,6,0.369,33,Football/Soccer,420,666,400,500,700,900
CA,Quebec,F,15,R,168,25,162,3,Walk,8,0.241,28,Dancing,668,471,615,310,1000,1000
OZ,New South Wales,F,11,R,148,21,155,2,Bus,45,0.5,32,Dancing,468,462,651,651,474,474
NZ,Auckland,M,13,R,161,25,172,1,Walk,15,0.431,0,Football/Soccer,1000,,1000,,,
USA,WI,F,14,R,160,26,153,1,Walk,8,0.594,37,Athletics,400,500,200,300,800,1000
UK,South,F,11,R,149,23,146,1,Bus,60,0.32,24,Other activities/sports,500,500,500,500,500,500
CA,Alberta,M,11,R,139,20,129,2,Bus,10,0.331,39,Hockey (Ice),123,1000,947,1000,1000,1000
USA,CA,M,17,R,173,28,172,1,Car,10,0.31,51,Dancing,0,0,0,0,1000,1000
CA,Ontario,F,8,R,161,22,165,1,Bus,16,0.743,30,Cycling,134,840,759,861,332,289
OZ,Queensland,F,14,R,157,21,157,2,Bus,20,0.28,31,Cricket,255,125,273,202,1,
UK,South West,M,11,R,150,23,148,2,Bus,35,0.31,42,Cricket,500,500,500,500,1000,613
NZ,Wellington,F,9,R,142,19,124,1,Car,5,0.563,0,Swimming,1000,,750,,,
CA,Ontario,M,14,R,164,25,154,1,Car,7,0.399,53,Athletics,251,321,21,11,1000,1000
UK,Channel Islands,F,15,R,160,22,156,3,Bus,30,0.28,34,Football/Soccer,493,500,531,552,755,1000
USA,CO,M,17,R,182,25,185,1,Walk,15,0.537,56,Dancing,5,2,6,1,3,4
NZ,Manawatu-Wanganui,F,13,R,149,22,137,2,Car,5,0,0,Football/Soccer,750,,1000,,,
OZ,New South Wales,M,13,R,150,22,110,2,Car,30,0.26,44,Tennis,1000,1000,1000,1000,503,527
CA,Ontario,F,13,R,155,23,150,1,Cycle,7,0.375,43,Other activities/sports,358,230,225,636,872,1000
OZ,South OZ,M,12,R,152,24,151,1,Car,7,0.4,55,Tennis,255,101,385,155,810,237
UK,North East,F,11,R,152,24,147,2,Walk,10,0.53,60,Football/Soccer,714,794,770,839,2,221
NZ,Otago,F,13,R,166,23,152,1,Walk,15,0.422,0,Netball,750,,750,,,
CA,Nova Scotia,F,14,B,155,21,155,1,Bus,60,0.516,31,Other activities/sports,1000,1000,610,722,283,390
UK,South,M,15,B,187,29,182,2,Walk,30,0.35,49,Football/Soccer,1000,1000,1000,1000,1000,1000
NZ,Auckland,F,13,R,166,25,168,1,Car,5,0,0,Swimming,750,,500,,,
CA,Ontario,M,17,R,176,27,177,1,Cycle,15,0.468,32,Tennis,524,283,390,476,759,797
USA,CA,M,15,L,184,29,191,1,Car,14,0.338,54,Athletics,562,723,823,725,524,423
NZ,Manawatu-Wanganui,F,12,R,171,32,171,1,Car,5,0.439,0,Basketball,500,,500,,,
NZ,Canterbury,M,9,R,148,45,151,2,Walk,5,0.625,0,Rugby Union,1000,,1000,,,
OZ,South OZ,F,13,R,151,22,144,1,Bus,40,0.29,35,Tennis,450,509,661,651,261,421
USA,CA,M,17,R,170,27,168,1,Walk,20,0.434,38,Football/Soccer,350,350,350,350,200,200
UK,North West,M,12,L,168,31,123,1,Bus,10,0.73,48,Football/Soccer,410,248,27,212,863,1000
CA,Ontario,M,13,R,162,26,171,4,Bus,5,0.364,50,Athletics,134,43,503,144,1000,1000
