stadium,city,state,College,conference,capacity,built,expanded,div,latitude,longitude
Lane Stadium,Blacksburg,VA,Virginia Tech University,ACC,66233,1965,2005,fbs,37.21997428,-80.41805506
Armstrong Stadium,Hampton,Virginia,Hampton University,MEAC,17000,1928,1999,fcs,37.02070612,-76.33395552
Bridgeforth Stadium,Harrisonburg,Virginia,James Madison University,CAA,24878,1975,2011,fcs,38.43508894,-78.8734033
Williams Stadium,Lynchburg,Virginia,Liberty University,Big South,19200,1989,2010,fcs,37.354414,-79.175047
"William ""Dick"" Price Stadium",Norfolk,Virginia,Norfolk State University,MEAC,30000,1997,,fcs,36.84669305,-76.26048088
E. Claiborne Robins Stadium,Richmond,Virginia,University of Richmond,CAA,9000,2010,,fcs,37.57786501,-77.54397154
Alumni Memorial Field,Lexington,Virginia,Virginia Military Institute,Southern,10000,1962,2006,fcs,37.78867675,-79.43499757
Zable Stadium,Williamsburg,Virginia,College of William & Mary,CAA,12259,1935,,fcs,37.27306246,-76.71422482
Husky Stadium,Seattle,WA,University of Washington,Pac-12,70500,1920,2012,fbs,47.65043054,-122.3029198
Martin Stadium,Pullman,WA,Washington State University,Pac-12,32248,1972,2000,fbs,46.73196798,-117.1605858
Roos Field,Cheney,Washington,Eastern Washington University,Big Sky,8600,1967,,fcs,47.49270377,-117.588129
Cooper Field,Georgetown,Washington D.C.,Georgetown University,Patriot,2500,2005,,fcs,38.90803281,-77.07540035
Camp Randall Stadium,Madison,WI,University of Wisconsin at Madison,Big Ten,80321,1917,2005,fbs,43.06993803,-89.41274643
Joan C. Edwards Stadium,Huntington,WV,Marshall University,C-USA,38019,1991,2000,fbs,38.42486536,-82.42185831
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia University,Big 12,60000,1980,2004,fbs,39.65221992,-79.9551753
War Memorial Stadium,Laramie,WY,University of Wyoming,Mountain West,29181,1950,2010,fbs,41.31193599,-105.5690646
