City,Abbr.,County,Alias_Abbr
California,MO,MONITEAU,"California, MO"
Calumet,MI,HOUGHTON,"Calumet, MI"
Camano Island,WA,ISLAND,"Camano Island, WA"
Camas Valley,OR,DOUGLAS,"Camas Valley, OR"
Cambridge,MA,MIDDLESEX,"Cambridge, MA"
Cambridge,OH,GUERNSEY,"Cambridge, OH"
Camden,ME,KNOX,"Camden, ME"
Cameron,AZ,COCONINO,"Cameron, AZ"
Camp Douglas,WI,JUNEAU,"Camp Douglas, WI"
Camp Pendleton,CA,SAN DIEGO,"Camp Pendleton, CA"
Canaan,VT,ESSEX,"Canaan, VT"
Canandaigua,NY,ONTARIO,"Canandaigua, NY"
Cannon AFB,NM,CURRY,"Cannon AFB, NM"
Canoga Park,CA,LOS ANGELES,"Canoga Park, CA"
Canton,OH,STARK,"Canton, OH"
Canyon Country,CA,LOS ANGELES,"Canyon Country, CA"
Canyon Lake,TX,COMAL,"Canyon Lake, TX"
Carmel,CA,MONTEREY,"Carmel, CA"
Carmel,IN,HAMILTON,"Carmel, IN"
Carrollton,TX,DALLAS,"Carrollton, TX"
Carson City,NV,CARSON CITY,"Carson City, NV"
Carson,CA,LOS ANGELES,"Carson, CA"
Caryville,FL,WASHINGTON,"Caryville, FL"
Casper,WY,NATRONA,"Casper, WY"
Casselberry,FL,SEMINOLE,"Casselberry, FL"
Cassville,MO,BARRY,"Cassville, MO"
Castroville,TX,MEDINA,"Castroville, TX"
Catalina,AZ,PIMA,"Catalina, AZ"
Catonsville,MD,BALTIMORE,"Catonsville, MD"
Cave Junction,OR,JOSEPHINE,"Cave Junction, OR"
Cayce,SC,LEXINGTON,"Cayce, SC"
Ceiba,PR,CEIBA,"Ceiba, PR"
Celina,OH,MERCER,"Celina, OH"
Centerville,GA,HOUSTON,"Centerville, GA"
Central Islip,NY,SUFFOLK,"Central Islip, NY"
Cerritos,CA,LOS ANGELES,"Cerritos, CA"
Chagrin Falls,OH,CUYAHOGA,"Chagrin Falls, OH"
Chagrin Falls,OH,GEAUGA,"Chagrin Falls, OH"
Challis,ID,CUSTER,"Challis, ID"
Chandler Heights,AZ,MARICOPA,"Chandler Heights, AZ"
Chantilly,VA,FAIRFAX,"Chantilly, VA"
Chantilly,VA,LOUDOUN,"Chantilly, VA"
Chaparral,NM,DONA ANA,"Chaparral, NM"
Charlemont,MA,FRANKLIN,"Charlemont, MA"
Charleston,MS,TALLAHATCHIE,"Charleston, MS"
Charleston,SC,BERKELEY,"Charleston, SC"
Charleston,SC,CHARLESTON,"Charleston, SC"
Charlevoix,MI,CHARLEVOIX,"Charlevoix, MI"
Charlottesville,VA,ALBEMARLE,"Charlottesville, VA"
Charlottesville,VA,CHARLOTTESVILLE CITY,"Charlottesville, VA"
Chatham,PA,CHESTER,"Chatham, PA"
Cheltenham,MD,PRINCE GEORGES,"Cheltenham, MD"
Chester,PA,DELAWARE,"Chester, PA"
Chester,VT,WINDSOR,"Chester, VT"
Chestertown,MD,KENT,"Chestertown, MD"
Chestertown,MD,QUEEN ANNES,"Chestertown, MD"
Chevy Chase,MD,MONTGOMERY,"Chevy Chase, MD"
Cheyenne,WY,LARAMIE,"Cheyenne, WY"
Chicago Heights,IL,COOK,"Chicago Heights, IL"
Chicago,IL,COOK,"Chicago, IL"
Chignik,AK,LAKE AND PENINSULA,"Chignik, AK"
Chiloquin,OR,KLAMATH,"Chiloquin, OR"
Chincoteague Island,VA,ACCOMACK,"Chincoteague Island, VA"
Chinle,AZ,APACHE,"Chinle, AZ"
Church Hill,MD,QUEEN ANNES,"Church Hill, MD"
Church Hill,TN,HAWKINS,"Church Hill, TN"
Cincinnati,OH,CLERMONT,"Cincinnati, OH"
Cincinnati,OH,HAMILTON,"Cincinnati, OH"
City Of Industry,CA,LOS ANGELES,"City Of Industry, CA"
Clackamas,OR,CLACKAMAS,"Clackamas, OR"
Clarksdale,MS,COAHOMA,"Clarksdale, MS"
Clarksville,IN,CLARK,"Clarksville, IN"
Clay,NY,ONONDAGA,"Clay, NY"
Clearwater,FL,PINELLAS,"Clearwater, FL"
Clearwater,SC,AIKEN,"Clearwater, SC"
Cleveland,OH,CUYAHOGA,"Cleveland, OH"
Clifton,TX,BOSQUE,"Clifton, TX"
Clinton,IA,CLINTON,"Clinton, IA"
Clive,IA,POLK,"Clive, IA"
Cloudcroft,NM,OTERO,"Cloudcroft, NM"
Clovis,NM,CURRY,"Clovis, NM"
Coaling,AL,TUSCALOOSA,"Coaling, AL"
Coconut Creek,FL,BROWARD,"Coconut Creek, FL"
Colchester,CT,NEW LONDON,"Colchester, CT"
Collegeville,PA,MONTGOMERY,"Collegeville, PA"
Collingswood,NJ,CAMDEN,"Collingswood, NJ"
Collinsville,CT,HARTFORD,"Collinsville, CT"
Coloma,MI,BERRIEN,"Coloma, MI"
Columbia,MD,HOWARD,"Columbia, MD"
Columbia,SC,LEXINGTON,"Columbia, SC"
Columbia,SC,RICHLAND,"Columbia, SC"
Columbus,GA,MUSCOGEE,"Columbus, GA"
Columbus,OH,DELAWARE,"Columbus, OH"
Columbus,OH,FRANKLIN,"Columbus, OH"
Commerce Township,MI,OAKLAND,"Commerce Township, MI"
Commerce,GA,BANKS,"Commerce, GA"
Commerce,GA,JACKSON,"Commerce, GA"
Concord,CA,CONTRA COSTA,"Concord, CA"
Continental Divide,NM,MCKINLEY,"Continental Divide, NM"
Continental,OH,PUTNAM,"Continental, OH"
Cooke City,MT,PARK,"Cooke City, MT"
Coosawhatchie,SC,JASPER,"Coosawhatchie, SC"
Coral Gables,FL,MIAMI-DADE,"Coral Gables, FL"
Coral Springs,FL,BROWARD,"Coral Springs, FL"
Corcoran,CA,KINGS,"Corcoran, CA"
Cordova,AK,VALDEZ CORDOVA,"Cordova, AK"
Cornelius,OR,WASHINGTON,"Cornelius, OR"
Cornell,MI,DELTA,"Cornell, MI"
Corning,CA,TEHAMA,"Corning, CA"
Cotati,CA,SONOMA,"Cotati, CA"
Cottleville,MO,SAINT CHARLES,"Cottleville, MO"
Cottonwood,ID,IDAHO,"Cottonwood, ID"
Council Grove,KS,MORRIS,"Council Grove, KS"
Coventry,RI,KENT,"Coventry, RI"
Covington,KY,KENTON,"Covington, KY"
Cowlesville,NY,WYOMING,"Cowlesville, NY"
Cranston,RI,PROVIDENCE,"Cranston, RI"
Crescent City,CA,DEL NORTE,"Crescent City, CA"
Crest Hill,IL,WILL,"Crest Hill, IL"
Creston,WA,LINCOLN,"Creston, WA"
Crooks,SD,MINNEHAHA,"Crooks, SD"
Culdesac,ID,NEZ PERCE,"Culdesac, ID"
Cuyahoga Falls,OH,SUMMIT,"Cuyahoga Falls, OH"
Cypress,CA,ORANGE,"Cypress, CA"
Dale,IL,HAMILTON,"Dale, IL"
Dallas,TX,COLLIN,"Dallas, TX"
Dallas,TX,DALLAS,"Dallas, TX"
Damascus,OR,CLACKAMAS,"Damascus, OR"
Dana Point,CA,ORANGE,"Dana Point, CA"
Danville,IL,VERMILION,"Danville, IL"
Dartmouth,MA,BRISTOL,"Dartmouth, MA"
Dayton,KY,CAMPBELL,"Dayton, KY"
Dayton,OH,GREENE,"Dayton, OH"
Dayton,OH,MONTGOMERY,"Dayton, OH"
Daytona Beach,FL,VOLUSIA,"Daytona Beach, FL"
De Soto,KS,JOHNSON,"De Soto, KS"
Dededo,GU,GUAM,"Dededo, GU"
Deep River,CT,MIDDLESEX,"Deep River, CT"
Defuniak Springs,FL,WALTON,"Defuniak Springs, FL"
Del Rio,TX,VAL VERDE,"Del Rio, TX"
Deland,FL,VOLUSIA,"Deland, FL"
Dell City,TX,HUDSPETH,"Dell City, TX"
Dellrose,TN,LINCOLN,"Dellrose, TN"
Delta Junction,AK,SOUTHEAST FAIRBANKS,"Delta Junction, AK"
Denver,CO,ADAMS,"Denver, CO"
Denver,CO,ARAPAHOE,"Denver, CO"
Denver,CO,DENVER,"Denver, CO"
Denver,CO,JEFFERSON,"Denver, CO"
Des Moines,IA,POLK,"Des Moines, IA"
Destin,FL,OKALOOSA,"Destin, FL"
Detroit,MI,WAYNE,"Detroit, MI"
Devens,MA,MIDDLESEX,"Devens, MA"
Diamond Bar,CA,LOS ANGELES,"Diamond Bar, CA"
Diamond City,AR,BOONE,"Diamond City, AR"
Discovery Bay,CA,CONTRA COSTA,"Discovery Bay, CA"
Dodge City,KS,FORD,"Dodge City, KS"
Dorchester,MA,SUFFOLK,"Dorchester, MA"
Dover,DE,KENT,"Dover, DE"
Dover,NJ,MORRIS,"Dover, NJ"
Dovray,MN,MURRAY,"Dovray, MN"
Downers Grove,IL,DUPAGE,"Downers Grove, IL"
Downingtown,PA,CHESTER,"Downingtown, PA"
Doylestown,PA,BUCKS,"Doylestown, PA"
Dublin,GA,LAURENS,"Dublin, GA"
Dubois,ID,CLARK,"Dubois, ID"
Dubre,KY,CUMBERLAND,"Dubre, KY"
Dulles,VA,LOUDOUN,"Dulles, VA"
Duluth,GA,FULTON,"Duluth, GA"
Duluth,GA,GWINNETT,"Duluth, GA"
Duluth,MN,SAINT LOUIS,"Duluth, MN"
Dunbar,NE,OTOE,"Dunbar, NE"
Dunkirk,NY,CHAUTAUQUA,"Dunkirk, NY"
Dunnellon,FL,CITRUS,"Dunnellon, FL"
Dunnellon,FL,MARION,"Dunnellon, FL"
Durants Neck,NC,PERQUIMANS,"Durants Neck, NC"
Durham,CA,BUTTE,"Durham, CA"
Dyer,IN,LAKE,"Dyer, IN"
Eagle Mountain,UT,UTAH,"Eagle Mountain, UT"
Eagle Nest,NM,COLFAX,"Eagle Nest, NM"
Eagleville,PA,MONTGOMERY,"Eagleville, PA"
Earlville,PA,BERKS,"Earlville, PA"
East Bloomfield,NY,ONTARIO,"East Bloomfield, NY"
East Boston,MA,SUFFOLK,"East Boston, MA"
East Corinth,VT,ORANGE,"East Corinth, VT"
East Ellijay,GA,GILMER,"East Ellijay, GA"
East Elmhurst,NY,QUEENS,"East Elmhurst, NY"
East Haven,CT,NEW HAVEN,"East Haven, CT"
East Homer,NY,CORTLAND,"East Homer, NY"
East Longmeadow,MA,HAMPDEN,"East Longmeadow, MA"
East Peoria,IL,TAZEWELL,"East Peoria, IL"
East Saint Louis,IL,SAINT CLAIR,"East Saint Louis, IL"
Eastchester,NY,WESTCHESTER,"Eastchester, NY"
Eben Junction,MI,ALGER,"Eben Junction, MI"
Eden Prairie,MN,HENNEPIN,"Eden Prairie, MN"
Eden,AZ,GRAHAM,"Eden, AZ"
Eden,VT,LAMOILLE,"Eden, VT"
Edison,NJ,MIDDLESEX,"Edison, NJ"
Edwardsburg,MI,CASS,"Edwardsburg, MI"
Edwardsville,KS,WYANDOTTE,"Edwardsville, KS"
Egg Harbor Township,NJ,ATLANTIC,"Egg Harbor Township, NJ"
Eight Mile,AL,MOBILE,"Eight Mile, AL"
El Monte,CA,LOS ANGELES,"El Monte, CA"
El Paso,TX,EL PASO,"El Paso, TX"
El Toro,CA,ORANGE,"El Toro, CA"
Eldon,MO,MILLER,"Eldon, MO"
Elgin,TN,SCOTT,"Elgin, TN"
Elizabeth,NJ,UNION,"Elizabeth, NJ"
Elizabethtown,IN,BARTHOLOMEW,"Elizabethtown, IN"
Ellensburg,WA,KITTITAS,"Ellensburg, WA"
Ellicott City,MD,HOWARD,"Ellicott City, MD"
Ellsworth,WI,PIERCE,"Ellsworth, WI"
Elmhurst,NY,QUEENS,"Elmhurst, NY"
Elyria,OH,LORAIN,"Elyria, OH"
Encino,CA,LOS ANGELES,"Encino, CA"
Endeavor,PA,FOREST,"Endeavor, PA"
Endwell,NY,BROOME,"Endwell, NY"
Englewood,FL,CHARLOTTE,"Englewood, FL"
Englewood,FL,SARASOTA,"Englewood, FL"
Englewood,NJ,BERGEN,"Englewood, NJ"
Erie,CO,BOULDER,"Erie, CO"
Erlanger,KY,KENTON,"Erlanger, KY"
Esparto,CA,YOLO,"Esparto, CA"
Essex,VT,CHITTENDEN,"Essex, VT"
Essig,MN,BROWN,"Essig, MN"
Estill,SC,HAMPTON,"Estill, SC"
Etlan,VA,MADISON,"Etlan, VA"
Etna,OH,LICKING,"Etna, OH"
Euclid,OH,CUYAHOGA,"Euclid, OH"
Eugene,OR,LANE,"Eugene, OR"
Eureka,CA,HUMBOLDT,"Eureka, CA"
Eureka,WI,WINNEBAGO,"Eureka, WI"
Evans,CO,WELD,"Evans, CO"
Evansport,OH,DEFIANCE,"Evansport, OH"
Evergreen,CO,JEFFERSON,"Evergreen, CO"
Everson,WA,WHATCOM,"Everson, WA"
Exton,PA,CHESTER,"Exton, PA"
Fairbanks,AK,FAIRBANKS NORTH STAR,"Fairbanks, AK"
Fairfax,VA,FAIRFAX,"Fairfax, VA"
Fairfax,VA,FAIRFAX CITY,"Fairfax, VA"
Fairfield,CA,SOLANO,"Fairfield, CA"
Fairfield,ID,CAMAS,"Fairfield, ID"
Fairfield,OH,BUTLER,"Fairfield, OH"
Fairlawn,OH,SUMMIT,"Fairlawn, OH"
Fairmont,MN,MARTIN,"Fairmont, MN"
Fairplay,CO,PARK,"Fairplay, CO"
Falcon,MS,QUITMAN,"Falcon, MS"
Fallon,MT,PRAIRIE,"Fallon, MT"
Falls Church,VA,FAIRFAX,"Falls Church, VA"
Falls Church,VA,FALLS CHURCH CITY,"Falls Church, VA"
Falmouth,MA,BARNSTABLE,"Falmouth, MA"
Far Rockaway,NY,QUEENS,"Far Rockaway, NY"
Farmington,WA,WHITMAN,"Farmington, WA"
Farmville,VA,PRINCE EDWARD,"Farmville, VA"
Fayetteville,AR,WASHINGTON,"Fayetteville, AR"
Fayetteville,GA,FAYETTE,"Fayetteville, GA"
Fayetteville,NC,CUMBERLAND,"Fayetteville, NC"
Fe Warren AFB,WY,LARAMIE,"Fe Warren AFB, WY"
Federal Way,WA,KING,"Federal Way, WA"
Felch,MI,DICKINSON,"Felch, MI"
Fenwick Island,DE,SUSSEX,"Fenwick Island, DE"
Firestone,CO,WELD,"Firestone, CO"
Fishers,IN,HAMILTON,"Fishers, IN"
Fiskdale,MA,WORCESTER,"Fiskdale, MA"
Flagstaff,AZ,COCONINO,"Flagstaff, AZ"
Flint,MI,GENESEE,"Flint, MI"
Floral Park,NY,NASSAU,"Floral Park, NY"
Floral Park,NY,QUEENS,"Floral Park, NY"
Flowood,MS,RANKIN,"Flowood, MS"
Flushing,NY,QUEENS,"Flushing, NY"
Foley,MN,BENTON,"Foley, MN"
Folsom,CA,SACRAMENTO,"Folsom, CA"
Fort Dodge,KS,FORD,"Fort Dodge, KS"
Fort Drum,NY,JEFFERSON,"Fort Drum, NY"
Fort Lauderdale,FL,BROWARD,"Fort Lauderdale, FL"
Fort Lyon,CO,BENT,"Fort Lyon, CO"
Fort Mill,SC,LANCASTER,"Fort Mill, SC"
Fort Mill,SC,YORK,"Fort Mill, SC"
Fort Morgan,CO,MORGAN,"Fort Morgan, CO"
Fort Myers,FL,LEE,"Fort Myers, FL"
Fort Pierce,FL,SAINT LUCIE,"Fort Pierce, FL"
Fort Stewart,GA,LIBERTY,"Fort Stewart, GA"
Fort Thomas,KY,CAMPBELL,"Fort Thomas, KY"
Fort Washington,PA,BUCKS,"Fort Washington, PA"
Fort Washington,PA,MONTGOMERY,"Fort Washington, PA"
Fort Worth,TX,TARRANT,"Fort Worth, TX"
Fort Yukon,AK,YUKON KOYUKUK,"Fort Yukon, AK"
Fountain Valley,CA,ORANGE,"Fountain Valley, CA"
Fowler,IN,BENTON,"Fowler, IN"
Fox Valley,IL,DUPAGE,"Fox Valley, IL"
Frankfort,IN,CLINTON,"Frankfort, IN"
Franklin,AR,IZARD,"Franklin, AR"
Franklin,NY,DELAWARE,"Franklin, NY"
Frazier Park,CA,KERN,"Frazier Park, CA"
Frederick,CO,WELD,"Frederick, CO"
Fredericksburg,VA,FREDERICKSBURG CITY,"Fredericksburg, VA"
Fredericksburg,VA,SPOTSYLVANIA,"Fredericksburg, VA"
Fredericksburg,VA,STAFFORD,"Fredericksburg, VA"
Fredonia,AZ,COCONINO,"Fredonia, AZ"
Freedom,WI,OUTAGAMIE,"Freedom, WI"
Freetown,IN,JACKSON,"Freetown, IN"
Friesland,WI,COLUMBIA,"Friesland, WI"
Frisco,TX,COLLIN,"Frisco, TX"
Frisco,TX,DENTON,"Frisco, TX"
Ft Mitchell,KY,KENTON,"Ft Mitchell, KY"
Fultonville,NY,MONTGOMERY,"Fultonville, NY"
Gadsden,AL,ETOWAH,"Gadsden, AL"
Gaithersburg,MD,MONTGOMERY,"Gaithersburg, MD"
Galena,MO,STONE,"Galena, MO"
Gales Ferry,CT,NEW LONDON,"Gales Ferry, CT"
Gallup,NM,MCKINLEY,"Gallup, NM"
Ganado,AZ,APACHE,"Ganado, AZ"
Garden City,ID,ADA,"Garden City, ID"
Garden City,KS,FINNEY,"Garden City, KS"
Gardner,LA,RAPIDES,"Gardner, LA"
Gardner,ND,CASS,"Gardner, ND"
Garfield,KY,BRECKINRIDGE,"Garfield, KY"
Garland,TX,DALLAS,"Garland, TX"
Garnet Valley,PA,DELAWARE,"Garnet Valley, PA"
Gary,IN,LAKE,"Gary, IN"
Gasconade,MO,GASCONADE,"Gasconade, MO"
George,WA,GRANT,"George, WA"
Germantown,OH,MONTGOMERY,"Germantown, OH"
Gilford,NH,BELKNAP,"Gilford, NH"
Gillett,TX,KARNES,"Gillett, TX"
Gillette,WY,CAMPBELL,"Gillette, WY"
Gilman,WI,TAYLOR,"Gilman, WI"
Girdwood,AK,ANCHORAGE,"Girdwood, AK"
Glasgow,MT,VALLEY,"Glasgow, MT"
Glendale Heights,IL,DUPAGE,"Glendale Heights, IL"
Glendale,AZ,MARICOPA,"Glendale, AZ"
Glendale,CA,LOS ANGELES,"Glendale, CA"
Glenfield,NY,LEWIS,"Glenfield, NY"
Glens Falls,NY,WARREN,"Glens Falls, NY"
Glyndon,MD,BALTIMORE,"Glyndon, MD"
Golden,CO,JEFFERSON,"Golden, CO"
Goleta,CA,SANTA BARBARA,"Goleta, CA"
