old_value,new_value,x
Abbeville, AL,Abbeville, AL,
Alcoa, TN,Alcoa, TN,
Alcoa, TN,Alcoa, TN,
Alcoa, TN,Alcoa, TN,
Alden, MN,Alden, MN,
Alden, MN,Alden, MN,
Alderson, WV,Alderson, WV,
Aldine, TX,Houston, TX,x
Aldine, TX,Houston, TX,x
Aldrich, MO,Aldrich, MO,
Aledo, IL,Aledo, IL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander City, AL,Alexander City, AL,
Alexander, NY,Alexander, NY,
Alexandria, AL,Alexandria, AL,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, LA,Alexandria, LA,
Alexandria, MN,Alexandria, MN,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexandria, VA,Alexandria, VA,
Alexis, IL,Alexis, IL,
Algona, IA,Algona, IA,
Algona, IA,Algona, IA,
Algona, IA,Algona, IA,
Algona, IA,Algona, IA,
Algona, IA,Algona, IA,
Algona, IA,Algona, IA,
Alhambra, CA,Alhambra, CA,
Alhambra, CA,Alhambra, CA,
Alhambra, CA,Alhambra, CA,
Alhambra, CA,Alhambra, CA,
Alhambra, CA,Alhambra, CA,
Alice, TX,Alice, TX,
Alice, TX,Alice, TX,
Alice, TX,Alice, TX,
Alice, TX,Alice, TX,
Aliceville, AL,Aliceville, AL,
Alief, TX,Alief, TX,
Aline, OK,Aline, OK,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Aliquippa, PA,Aliquippa, PA,
Allegheny, PA,Pittsburgh, PA,x
Allen, TX,Allen, TX,
Allen, TX,Allen, TX,
Allendale, SC,Allendale, SC,
Allentown, NJ,Allentown, NJ,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Allentown, PA,Allentown, PA,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alliance, OH,Alliance, OH,
Alligator, MS,Alligator, MS,
Allison Park, PA,Allison Park, PA,
Allison Park, PA,Allison Park, PA,
Allison, PA,Allison, PA,
Alma, MO,Alma, MO,
Alpena, MI,Alpena, MI,
Alpena, MI,Alpena, MI,
Alpena, MI,Alpena, MI,
Alpena, MI,Alpena, MI,
Alpena, MI,Alpena, MI,
Alpena, MI,Alpena, MI,
Alpena, SD,Alpena, SD,
Alpha, NJ,Phillipsburg, NJ,x
Alpharetta, GA,Alpharetta, GA,
Alpharetta, GA,Alpharetta, GA,
Alpharetta, GA,Alpharetta, GA,
Alpharetta, GA,Alpharetta, GA,
Alpharetta, GA,Alpharetta, GA,
Alpharetta, GA,Alpharetta, GA,
Alpine, TX,Alpine, TX,
Alta Loma, CA,Rancho Cucamonga, CA,x
Alta, IA,Alta, IA,
Altadena, CA,Altadena, CA,
Altadena, CA,Altadena, CA,
Altadena, CA,Altadena, CA,
Altadena, CA,Altadena, CA,
Altadena, CA,Altadena, CA,
Altamonte Springs, FL,Altamonte Springs, FL,
Altamonte Springs, FL,Altamonte Springs, FL,
Altamonte Springs, FL,Altamonte Springs, FL,
Altamonte Springs, FL,Altamonte Springs, FL,
Altavista, VA,Altavista, VA,
Altavista, VA,Altavista, VA,
Altheimer, AR,Altheimer, AR,
Altheimer, AR,Altheimer, AR,
Alto, TX,Alto, TX,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, IL,Alton, IL,
Alton, KS,Alton, KS,
Alton, UT,Alton, UT,
Altoona, IA,Altoona, IA,
Altoona, IA,Altoona, IA,
Altoona, KS,Altoona, KS,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, PA,Altoona, PA,
Altoona, WI,Altoona, WI,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Altus, OK,Altus, OK,
Alvin, SC,Saint Stephen, SC,x
Alvin, TX,Alvin, TX,
Alvin, TX,Alvin, TX,
Alvin, TX,Alvin, TX,
Alvin, TX,Alvin, TX,
Alvord, TX,Alvord, TX,
Ama, LA,Ama, LA,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amarillo, TX,Amarillo, TX,
Amboy, IL,Amboy, IL,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Ambridge, PA,Ambridge, PA,
Amelia, VA,Amelia Court House, VA,x
American Falls, ID,American Falls, ID,
American Falls, ID,American Falls, ID,
American Fork, UT,American Fork, UT,
American Fork, UT,American Fork, UT,
American Fork, UT,American Fork, UT,
American Fork, UT,American Fork, UT,
American Fork, UT,American Fork, UT,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Americus, GA,Americus, GA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, IA,Ames, IA,
Ames, OK,Ames, OK,
Amesbury, MA,Amesbury, MA,
Amesbury, MA,Amesbury, MA,
Amherst, MA,Amherst, MA,
Amherst, MA,Amherst, MA,
Amherst, NY,Buffalo, NY,x
Amherst, NY,Buffalo, NY,x
Amherst, NY,Buffalo, NY,x
Amherst, VA,Amherst, VA,
Amherst, WI,Amherst, WI,
Amite, LA,Amite, LA,
Amite, LA,Amite, LA,
Amite, LA,Amite, LA,
Amite, LA,Amite, LA,
Amite, LA,Amite, LA,
Amityville, NY,Amityville, NY,
Amityville, NY,Amityville, NY,
Amityville, NY,Amityville, NY,
Amityville, NY,Amityville, NY,
Amorita, OK,Amorita, OK,
Amory, MS,Amory, MS,
Amory, MS,Amory, MS,
Amory, MS,Amory, MS,
Amsterdam, NY,Amsterdam, NY,
Amsterdam, NY,Amsterdam, NY,
Amsterdam, NY,Amsterdam, NY,
Amsterdam, NY,Amsterdam, NY,
Anaconda, MT,Anaconda, MT,
Anaconda, MT,Anaconda, MT,
Anaconda, MT,Anaconda, MT,
Anaconda, MT,Anaconda, MT,
Anaconda, MT,Anaconda, MT,
Anaconda, MT,Anaconda, MT,
Anadarko, OK,Anadarko, OK,
Anadarko, OK,Anadarko, OK,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anaheim, CA,Anaheim, CA,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorage, AK,Anchorage, AK,
Anchorville, MI,Anchorville, MI,
Andalusia, AL,Andalusia, AL,
Andalusia, AL,Andalusia, AL,
Andalusia, AL,Andalusia, AL,
Andalusia, AL,Andalusia, AL,
Andalusia, AL,Andalusia, AL,
Anderson, IN,Anderson, IN,
Anderson, IN,Anderson, IN,
Anderson, IN,Anderson, IN,
Anderson, IN,Anderson, IN,
Anderson, IN,Anderson, IN,
Anderson, IN,Anderson, IN,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Anderson, SC,Anderson, SC,
Andover, MA,Andover, MA,
Andover, MA,Andover, MA,
Andrews, SC,Andrews, SC,
Andrews, TX,Andrews, TX,
Andrews, TX,Andrews, TX,
Angie, LA,Angie, LA,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angleton, TX,Angleton, TX,
Angola, NY,Angola, NY,
Angola, NY,Angola, NY,
Anguilla, MS,Anguilla, MS,
Anguilla, MS,Anguilla, MS,
Anguilla, MS,Anguilla, MS,
Anita, IA,Anita, IA,
Anmoore, WV,Anmoore, WV,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Ann Arbor, MI,Ann Arbor, MI,
Anna, IL,Anna, IL,
Anna, OH,Anna, OH,
Anna, TX,Anna, TX,
Anna, TX,Anna, TX,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Annapolis, MD,Annapolis, MD,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Anniston, AL,Anniston, AL,
Annville, PA,Annville, PA,
Anoka, MN,Anoka, MN,
Anoka, MN,Anoka, MN,
Anson, TX,Anson, TX,
Anson, TX,Anson, TX,
Ansonia, CT,Ansonia, CT,
Ansonia, CT,Ansonia, CT,
Ansonia, CT,Ansonia, CT,
Ansonia, CT,Ansonia, CT,
Ansonville, NC,Ansonville, NC,
Ansted, WV,Ansted, WV,
Ansted, WV,Ansted, WV,
Anthony, KS,Anthony, KS,
Antigo, WI,Antigo, WI,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, CA,Antioch, CA,
Antioch, TN,Antioch, TN,
Antioch, TN,Antioch, TN,
Antwerp, NY,Antwerp, NY,
Apalachicola, FL,Apalachicola, FL,
Apex, NC,Apex, NC,
Aplington, IA,Aplington, IA,
Apollo, PA,Apollo, PA,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Apopka, FL,Apopka, FL,
Appalachia, VA,Appalachia, VA,
Apple Valley, CA,Apple Valley, CA,
Apple Valley, CA,Apple Valley, CA,
Apple Valley, CA,Apple Valley, CA,
Apple Valley, CA,Apple Valley, CA,
Apple Valley, MN,Saint Paul, MN,x
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
Appleton, WI,Appleton, WI,
